,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215
552,5.0,1.0,3.0,13.0,3.0,16.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,14.0,3.0,1.0,8.0,6.0,0.0,28.0,1.0,1.0,4.0,2.0,1.0,5.0,3.0,1.0,13.0,2.0,2.0,10.0,1.0,2.0,5.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,9.0,3.0,7.0,19.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,4.0,2.0,8.0,0.0,10.0,1.0,1.0,2.0,2.0,1.0,3.0,7.0,3.0,8.0,1.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,22.0,2.0,12.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,7.0,0.0,1.0,1.0,20.0,2.0,5.0,8.0,9.0,4.0,8.0,0.0,2.0,0.0,2.0,0.0,22.0,0.0,4.0,10.0,7.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,15.0,2.0,2.0,1.0,1.0,2.0
553,6.0,0.0,36.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,53.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,15.0,4.0,17.0,64.0,2.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,35.0,24.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0,5.0,6.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,1.0,0.0,18.0,9.0,3.0,7.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,1.0,31.0,10.0,20.0
554,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,0.0,6.0,5.0,14.0,0.0,2.0,4.0,4.0,9.0,27.0,4.0,1.0,2.0,4.0,2.0,8.0,0.0,4.0,15.0,12.0,9.0,22.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,5.0,6.0,3.0,13.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,5.0,0.0,0.0,18.0,2.0,12.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,13.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,6.0,1.0,2.0,11.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,21.0,32.0,6.0,15.0,2.0,0.0,18.0,1.0,1.0,2.0,3.0,1.0,14.0,3.0,2.0,4.0,1.0,0.0,29.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,6.0,2.0,11.0,2.0,0.0,19.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,12.0,8.0,1.0,36.0,4.0,0.0,8.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,2.0,13.0,0.0,4.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0,0.0,22.0,11.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,25.0,0.0,9.0,29.0,4.0,9.0,17.0,2.0,21.0,10.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,12.0,5.0,2.0,7.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,4.0,19.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,4.0,39.0,0.0,16.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0
556,6.0,1.0,1.0,16.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,2.0,25.0,4.0,12.0,2.0,2.0,0.0,8.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,5.0,3.0,0.0,15.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,9.0,7.0,1.0,9.0,1.0,0.0,3.0,6.0,0.0,25.0,0.0,2.0,0.0,2.0,0.0,2.0,6.0,1.0,5.0,5.0,1.0,11.0,3.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,5.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,8.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,26.0,3.0,38.0,5.0,5.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,15.0,0.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,8.0,1.0,0.0,2.0
557,3.0,8.0,3.0,2.0,1.0,16.0,1.0,6.0,0.0,5.0,0.0,7.0,2.0,4.0,4.0,4.0,0.0,22.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,8.0,3.0,4.0,6.0,6.0,9.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,4.0,6.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,4.0,2.0,2.0,2.0,1.0,9.0,3.0,4.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,25.0,0.0,2.0,5.0,17.0,3.0,3.0,2.0,10.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,9.0,2.0,2.0,1.0,15.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,4.0,1.0,4.0,0.0,2.0,2.0,22.0,3.0,14.0,3.0,7.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,0.0,3.0,4.0,11.0,0.0,3.0,0.0,3.0,1.0,7.0,2.0,17.0,4.0,5.0,3.0,6.0,0.0,3.0,1.0,5.0,1.0
558,4.0,0.0,1.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,11.0,4.0,2.0,4.0,1.0,4.0,15.0,5.0,8.0,1.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,5.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,0.0,4.0,20.0,7.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,2.0,11.0,2.0,6.0,7.0,1.0,3.0,10.0,3.0,7.0,1.0,0.0,1.0,3.0,0.0,3.0,4.0,1.0,7.0,2.0,1.0,5.0,2.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,19.0,0.0,12.0,5.0,1.0,7.0,3.0,1.0,9.0,4.0,2.0,12.0,0.0,0.0,0.0,2.0,0.0,8.0,5.0,1.0,8.0,7.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,5.0,1.0,0.0,18.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,21.0,1.0,1.0,2.0,1.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,8.0,0.0,18.0,7.0,1.0,9.0
559,2.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,2.0,9.0,13.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,3.0,0.0,3.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,15.0,1.0,6.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,17.0,1.0,5.0,7.0,3.0,11.0,25.0,6.0,18.0,0.0,3.0,1.0,6.0,0.0,3.0,1.0,0.0,9.0,5.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,4.0,5.0,0.0,7.0,2.0,0.0,2.0,7.0,1.0,13.0,13.0,6.0,10.0,1.0,4.0,18.0,6.0,1.0,20.0,0.0,0.0,2.0,3.0,0.0,3.0,10.0,1.0,29.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,17.0,1.0,12.0,21.0,4.0,2.0,1.0,4.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0
560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,37.0,55.0,3.0,2.0,0.0,12.0,7.0,12.0,21.0,47.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,2.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,15.0,1.0,15.0,0.0,1.0,0.0,1.0,0.0,55.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,36.0,2.0,0.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,19.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,32.0,6.0,16.0,21.0,5.0,9.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,12.0,7.0,1.0,7.0,5.0,0.0,11.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,17.0,0.0,7.0,3.0,1.0,3.0,1.0,0.0,5.0,0.0,2.0,5.0,2.0,5.0,6.0,3.0,0.0,16.0,1.0,2.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,8.0,6.0,0.0,24.0,23.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,2.0,7.0,2.0,0.0,7.0,5.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,16.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,5.0,17.0,1.0,3.0,1.0,0.0,6.0,19.0,0.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,15.0,17.0,0.0,11.0
562,2.0,3.0,2.0,8.0,1.0,36.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,28.0,2.0,0.0,2.0,3.0,1.0,24.0,3.0,0.0,1.0,5.0,1.0,11.0,26.0,9.0,4.0,6.0,3.0,14.0,3.0,1.0,7.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,16.0,3.0,3.0,2.0,6.0,10.0,1.0,0.0,1.0,4.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,1.0,2.0,1.0,2.0,2.0,45.0,2.0,15.0,14.0,16.0,6.0,12.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,0.0,2.0,10.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,3.0,1.0,2.0,1.0,24.0,0.0,0.0,1.0,2.0,1.0
563,7.0,2.0,8.0,0.0,0.0,51.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,36.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,29.0,4.0,13.0,21.0,8.0,21.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,7.0,11.0,13.0,1.0,6.0,0.0,8.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,18.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,0.0,3.0,1.0,25.0,0.0,4.0,0.0,4.0,0.0,19.0,0.0,6.0,0.0,1.0,0.0,15.0,0.0,1.0,1.0,4.0,0.0
564,3.0,1.0,2.0,2.0,0.0,9.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,5.0,9.0,2.0,7.0,13.0,0.0,11.0,1.0,1.0,3.0,2.0,0.0,3.0,8.0,4.0,14.0,3.0,0.0,10.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,1.0,2.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,0.0,8.0,6.0,1.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,12.0,2.0,6.0,4.0,2.0,9.0,3.0,3.0,4.0,9.0,2.0,13.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,5.0,0.0,1.0,9.0,9.0,3.0,8.0,7.0,4.0,1.0,2.0,1.0,0.0,9.0,2.0,0.0,9.0,0.0,7.0,2.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,11.0,2.0,3.0,18.0,6.0,9.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,7.0,9.0,3.0,9.0,7.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,2.0,4.0,1.0,1.0,6.0
565,5.0,0.0,6.0,13.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,1.0,8.0,5.0,4.0,12.0,7.0,6.0,14.0,2.0,2.0,1.0,0.0,0.0,5.0,9.0,4.0,18.0,2.0,0.0,7.0,4.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,7.0,16.0,0.0,12.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,7.0,3.0,1.0,7.0,4.0,1.0,7.0,1.0,1.0,8.0,3.0,2.0,0.0,4.0,1.0,6.0,8.0,3.0,11.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,1.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0,9.0,0.0,4.0,4.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,3.0,10.0,1.0,18.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,4.0,0.0,1.0,6.0,15.0,0.0,5.0,10.0,4.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,30.0,2.0,4.0,9.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,1.0,11.0,0.0,1.0,1.0
566,0.0,0.0,0.0,3.0,0.0,12.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,2.0,4.0,1.0,19.0,2.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,3.0,34.0,9.0,1.0,12.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,16.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,12.0,8.0,1.0,15.0,5.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,6.0,14.0,1.0,9.0,2.0,0.0,9.0,4.0,1.0,4.0,9.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,6.0,15.0,3.0,10.0,5.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,11.0,2.0,7.0,12.0,2.0,40.0,2.0,0.0,1.0,0.0,1.0,0.0,14.0,1.0,10.0,16.0,5.0,10.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,4.0,2.0,0.0,0.0
